FIPS,State,County,Median_income,Population,Perc_over_65
01001,Alabama,Autauga,54487,55416,14.7
01003,Alabama,Baldwin,56460,208563,19.7
01005,Alabama,Barbour,32884,25965,18
01007,Alabama,Bibb,43079,22643,15.4
01009,Alabama,Blount,47213,57704,18
01011,Alabama,Bullock,34278,10362,16.3
01013,Alabama,Butler,35409,19998,19
01015,Alabama,Calhoun,41778,114611,16.9
01017,Alabama,Chambers,39530,33843,19.1
01019,Alabama,Cherokee,41456,25725,22
01021,Alabama,Chilton,44188,43941,16.1
01023,Alabama,Choctaw,32691,12993,21.8
01025,Alabama,Clarke,34061,24392,19
01027,Alabama,Clay,38512,13492,20.7
01029,Alabama,Cleburne,43483,14924,18.8
01031,Alabama,Coffee,48632,51226,16.4
01033,Alabama,Colbert,46572,54216,19.2
01035,Alabama,Conecuh,29758,12395,21.5
01037,Alabama,Coosa,36441,10581,19.9
01039,Alabama,Covington,35010,37458,20.4
01041,Alabama,Crenshaw,37374,13913,18.6
01043,Alabama,Cullman,41543,82471,18.2
01045,Alabama,Dale,40523,49226,16.2
01047,Alabama,Dallas,30488,40008,16.8
01049,Alabama,DeKalb,37128,70900,16.4
01051,Alabama,Elmore,54553,81799,14.8
01053,Alabama,Escambia,35096,37728,17.2
01055,Alabama,Etowah,40972,102564,18.2
01057,Alabama,Fayette,38403,16546,20.6
01059,Alabama,Franklin,37049,31628,16.3
01061,Alabama,Geneva,36976,26614,19.8
01063,Alabama,Greene,26559,8422,19.5
01065,Alabama,Hale,35381,14952,18.5
01067,Alabama,Henry,41426,17164,21.9
01069,Alabama,Houston,42910,104056,16.8
01071,Alabama,Jackson,41407,52138,19.4
01073,Alabama,Jefferson,50109,659521,15.1
01075,Alabama,Lamar,38358,13918,21.2
01077,Alabama,Lauderdale,44124,92318,19.1
01079,Alabama,Lawrence,43107,33244,17.7
01081,Alabama,Lee,47749,158991,11
01083,Alabama,Limestone,52181,92753,14.5
01085,Alabama,Lowndes,32011,10358,18.9
01087,Alabama,Macon,30681,18963,18.2
01089,Alabama,Madison,61193,356967,14.4
01091,Alabama,Marengo,34794,19673,19.8
01093,Alabama,Marion,36386,29998,20.6
01095,Alabama,Marshall,42117,95157,16.9
01097,Alabama,Mobile,45233,414836,15.3
01099,Alabama,Monroe,36639,21530,18.6
01101,Alabama,Montgomery,45111,226349,14
01103,Alabama,Morgan,46843,119012,16.7
01105,Alabama,Perry,25221,9574,18.6
01107,Alabama,Pickens,35968,20324,18.2
01109,Alabama,Pike,35172,33286,14.8
01111,Alabama,Randolph,40283,22652,20.2
01113,Alabama,Russell,38617,58172,13.2
01115,Alabama,St. Clair,57856,88019,16.2
01117,Alabama,Shelby,74212,210622,14
01119,Alabama,Sumter,26814,13040,17.2
01121,Alabama,Talladega,40555,80103,17
01123,Alabama,Tallapoosa,40169,40727,20.7
01125,Alabama,Tuscaloosa,47483,206102,12.4
01127,Alabama,Walker,39511,64967,19
01129,Alabama,Washington,37575,16756,17.8
01131,Alabama,Wilcox,24216,10986,18.8
01133,Alabama,Winston,38644,23805,21
02013,Alaska,Aleutians East,63991,3296,6.9
02016,Alaska,Aleutians West,78151,5647,6.3
02020,Alaska,Anchorage,83959,298192,9.9
02050,Alaska,Bethel,46634,17968,7.1
02060,Alaska,Bristol Bay,68026,898,11
02068,Alaska,Denali,72378,1953,8.6
02070,Alaska,Dillingham,52250,4954,8.7
02090,Alaska,Fairbanks North Star,73427,100605,8.8
02100,Alaska,Haines,53471,2496,19.2
02105,Alaska,Hoonah-Angoon,53884,2078,17.8
02110,Alaska,Juneau,82011,32468,11.7
02122,Alaska,Kenai Peninsula,68501,58506,15.6
02130,Alaska,Ketchikan Gateway,67125,13746,13.9
02150,Alaska,Kodiak Island,74683,13732,9.9
02158,Alaska,Kusilvak,34341,8049,5.8
02164,Alaska,Lake and Peninsula,44310,1562,9.1
